Name,Vendor ID,SMILES,MDR1-MDCK Papp_A2B (nm/s),b_rotN,diameter,h_pavgQ,h_pstates,h_pstrain,KierFlex,PEOE_VSA_HYD,PEOE_VSA_POL,pmiX,pmiY,rgyr,vdw_vol,vsurf_G,vsurf_R,Weight
324056965,324056965,CCOc1cc2nn(cc2cc1NC(=O)c1cccc(n1)C(F)F)CCC(C)(C)O,34.049999,9,15,0.00039082477,1.0034636,0.00023304147,4.9380622,316.43738,69.785431,3983.3167,8506.0273,5.6283731,461.4451,1.4208957,1.3874928,418.444
194963090,194963090,CC(C)(Oc1ccc(cc1)-c1cnc(c(c1)-c1ccc(cc1)Cl)N)C(=O)O,32.700001,5,15,-0.93014729,1.301477,3.6654577,4.129374,315.2872,36.461754,8103.2637,2032.2056,5.2790194,439.07364,1.3433315,1.4268289,382.84698
324059015,324059015,CC(C)(O)CCn1cc2cc(c(cc2n1)C(C)(C)O)NC(=O)c1cccc(n1)C(F)(F)F,65.349998,8,15,0.0001026989,1.0010464,6.1228602e-005,4.7464156,329.44601,74.060951,11136.247,2510.2649,5.6647801,482.4848,1.405906,1.4005986,450.461
299985775,299985775,CC(C)NCC(O)COc1cccc2ccccc12,242.36243,6,11,0.99615842,1.0255209,3.3157878,3.9551384,239.86801,21.753254,2952.6047,1472.275,4.3101978,318.58987,1.3193808,1.3475536,259.349
538570,538570,COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,2.49,11,19,-0.77897573,1.7859237,0.9384405,8.0030079,372.67749,68.242493,6887.4868,14817.747,6.8263426,529.73242,1.4651977,1.4055738,494.01199
44811418,44811418,CC(C)NC(=O)COc1cccc(c1)-c1nc(c2ccccc2n1)Nc1ccc2[nH]ncc2c1,2.665,8,17,0.32229507,2.1408348,0.23869972,4.116312,341.79797,68.126411,4008.9602,8256.2031,5.3511786,541.08319,1.4381608,1.4411801,452.51801
43216036,43216036,CCS(=O)(=O)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12,1.7,6,12,0.12597023,1.4698834,0.080266535,3.3386078,242.3988,91.639328,6641.8247,1098.4771,4.6741228,399.66479,1.3365849,1.406105,371.42499
2171363,2171363,COc1ccc(cc1)S(=O)(=O)N1CCC(CC1)N1CCC(C)CC1,206,4,15,0.99949032,1.0043833,4.5199733,5.9087815,300.20508,38.70488,7332.9697,334.72064,4.8626785,396.72305,1.3171023,1.4158103,352.49899
36366966,36366966,CCn1c(nc2cnc(cc12)Oc1cccc(c1)NC(=O)c1ccc(cc1)OCCN1CCOCC1)-c1nonc1N,17,11,24,0.77401644,2.5232947,0.74730706,6.2711186,448.93475,71.566971,1385.271,41229.371,8.8804264,646.56207,1.5190232,1.4452318,570.60999
50283346,50283346,CC1(C)CC[C@@]2(CC[C@]3(C)[C@@H]([C@@H]2C1)C(=O)C=C1[C@@]3(C)CC[C@H]2C(C)(C)C(=O)C(=C[C@@]21C)C#N)NC(=O)C(C)(F)F |r|,44.5,4,14,0,1,0,5.2690625,467.36304,61.566067,3154.5789,9159.2285,4.9119463,635.1131,1.3678622,1.480933,554.72198
44811754,44811754,Cc1c[nH]c2nccc(c12)Oc1c(cc(cc1F)Nc1cc(nc(n1)N)Cl)F,72.300003,4,13,0.17394589,1.9079502,0.10871031,3.4477801,263.7157,64.732903,2207.7681,6500.7563,4.7273068,423.13303,1.3460867,1.4230138,402.79199
48544545,48544545,Oc1[nH]c2ccc(cc2c1-c1ccc(cn1)CN1CCOCC1)C#N,34.099998,4,14,0.79614699,1.7370187,5.2225971,3.1433833,278.19962,26.818439,1787.5814,4600.145,4.4943633,395.39182,1.322979,1.4158989,334.379
44507857,44507857,CCCc1cc(n2ncnc2n1)N1CCc2c(nc(n2C)C2CC2)C1,7.2266665,4,12,1.0975208,5.3742971,1.0231997,2.6069841,258.54984,51.837246,4059.2734,2159.6528,4.4485874,395.17212,1.3413877,1.4114138,337.431
194974866,194974866,Fc1ccc(cn1)-c1ccc2c(c1)[nH]c1ccncc12,192,1,11,0.42911571,1.9813439,0.33426565,1.5514784,189.89139,30.559586,470.39963,4097.9507,4.2476835,315.75781,1.2421168,1.4064552,263.27499
