Name,SMILES,outer_fold,max_similarity_to_train,min_euclidean_distance_to_train,max_cosine_similarity_to_train
4851238,OC(=O)c1csc(n1)Cc1ccc(cc1)Cl,1,0.32142857142857145,2.842848747295624,0.9981550396618009
177360703,CN1C(=O)C=C(N(C)C1=O)C(=O)N1CCN(CCc2ccccc2)C(=O)C1,1,0.3333333333333333,1.4221835324596968,0.9989483114476394
207489,Fc1cccc(c1)-c1c[nH]nc1C1CCCN(C1)C(=O)CCc1ccc(cc1)Cl,1,0.6376811594202898,2.0533830621687024,0.9990697617122832
31908762,NC(=O)c1cccc(c1)CN1C=Nc2c(oc3ccccc23)C1=O,1,0.3157894736842105,1.7489442529709185,0.999287664713741
29371307,Nc1ncnc2n(nc(c12)-c1cnc2[nH]ccc2c1)C1CCCC1,1,0.463768115942029,3.85753107570077,0.999428995250418
48597409,CN(C)c1ncn(n1)-c1cccc(c1)N,1,0.29411764705882354,1.6439467752942267,0.9992120939235967
44000683,CCc1c([n+](c2c([n+]1[O-])CCCCC2)[O-])-c1ccccc1,1,0.2222222222222222,1.9846710054818935,0.9987232099870906
37544502,Cn1nc(cc1N)-c1cc(cc(c1)F)F,1,0.3023255813953488,1.4211136478130102,0.9993482717089331
45491581,Cc1cccc(c1C)Oc1ncccc1N,1,0.4772727272727273,0.8518609041388239,0.9991933136891694
LN01297365,CCN(C1CCOCC1)c1cc(cc(c1C)C(=O)NCc1c(cc(nc1O)C)C)-c1ccc(cc1)CN1CCOCC1,1,0.32407407407407407,6.796260442331597,0.9981862371250709
23671374,Cc1ccc(s1)C(=O)Nc1ncccc1C,1,0.41818181818181815,0.9952351480928178,0.9997141384361111
44466308,Cn1ncnc1COc1nn2c(nnc2cc1C1CCC1)-c1c(cccc1F)F,1,0.5068493150684932,0.39168609880740557,0.9999365330215235
36342874,Cc1nc(c2c(c(sc2n1)C)C)N1CCc2c(ncn2C)C1,1,0.3472222222222222,3.007270689512204,0.9987092761102732
53766760,CC1=CC(=CN(Cc2ccc(cc2F)C#N)C1=O)Br,1,0.45614035087719296,0.6573560678961529,0.9992212106723165
49045390,CCc1cc(on1)CNC(=O)NC1CCN(CC1)CC1CCCCC1,1,0.453125,4.711538496075529,0.9982168310659026
31937832,CC(C)c1nc(cs1)CC(=O)N1CCCN(CC1)C(=O)C,1,0.30303030303030304,1.676625479944513,0.9995174443955757
29566339,O=C1CCCN1CCc1nc(cs1)-c1ccc(cc1)C#N,1,0.3380281690140845,1.8903298653938414,0.9980900634885647
49956374,CCc1cc(n(n1)C)NS(=O)(=O)C,1,0.30434782608695654,1.8265360658912144,0.9997887520985996
48750988,CN(C(=O)CSC(C)(C)C)c1ccccc1C#N,1,0.3617021276595745,1.836524162650628,0.999482205062008
32278227,CC(C)c1cc(c(c(c1)C(C)C)CC(=O)NS(=O)(=O)Oc1c(cccc1C(C)C)C(C)C)C(C)C,1,0.28125,6.069411009315683,0.9995391967048722
214735,Cc1cc(nc(n1)C1CCNCC1)NC1CCCC1,1,0.3541666666666667,1.7098637372606205,0.9985104653733183
30455849,COc1cccc(c1)OCCCn1cncc1-c1cc2c(cc1C)N(C)C(=O)N2C,1,0.5454545454545454,2.900674749088442,0.9986269647127451
177361051,COc1ccc(c(c1)CN1C=Nc2cn(nc2C1=O)C)OC,1,0.34285714285714286,1.2105783741670935,0.999458552135312
11835068,O=C(Nc1ccc2c(c1)OCCCO2)c1cnn(c1)Cc1ccccc1,1,0.421875,1.6163393826794596,0.9987545936123008
32423148,Clc1ccc(cn1)Cc1nc(n[nH]1)-c1ccccc1,1,0.4423076923076923,1.1498682533238347,0.9995481762430815
