Name,Parent,SMILES,outer_fold,max_similarity_to_train,min_euclidean_distance_to_train,max_cosine_similarity_to_train
11995039_751,11995039,O=C(Nc1ccc(F)cc1F)N1CCn2c1[nH+]c1ccccc12,1,0.3235294117647059,1.6684891369139287,0.999320860189416
11995039_750,11995039,O=C(Nc1ccc(F)cc1F)N1CCn2c1nc1ccccc12,1,0.3235294117647059,1.1675362949396502,0.9997213951356275
53851976_421,53851976,Cc1cc(C)n(CCNC(=O)NC2CCOCC2)n1,1,0.4444444444444444,2.098454907783446,0.9995405134130357
32435950_690,32435950,COc1cc(F)ccc1-c1ncccc1NC(=O)C(C)C,1,0.359375,2.8519589758619497,0.9922108233559106
173261_2215,173261,O=C(c1ccncc1)N1CCC(c2cnccn2)CC1,1,0.45652173913043476,1.3255115993458717,0.9995822093614039
151211_361,151211,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)[nH+]2)cc1,1,0.5645161290322581,2.4080741267660533,0.9984608409640687
151211_360,151211,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1,1,0.5737704918032787,2.0481162076405535,0.9994086688560522
27415022_312,27415022,C[N@@H+](Cc1cccc(C#N)c1)Cc1ccccc1C#N,1,0.6086956521739131,2.8492155060648297,0.9970518751674537
27415022_313,27415022,CN(Cc1cccc(C#N)c1)Cc1ccccc1C#N,1,0.6086956521739131,3.990058270251187,0.9960682847547653
17464371_3480,17464371,O=C(NCCc1ccccc1)c1ccc(NC(=O)N2CCCCc3ccccc32)cc1,1,0.3835616438356164,2.507388282655888,0.9988153217707287
29596013_1416,29596013,CN(C)c1cc(CNc2ccc(C#N)cn2)ccn1,1,0.45098039215686275,0.8263122896344774,0.9996559045325458
29596013_1417,29596013,CN(C)c1cc(CNc2ccc(C#N)cn2)cc[nH+]1,1,0.4230769230769231,1.5233184171409588,0.9992630473075653
32398880_3348,32398880,CCOc1cccc(-c2cccc(N)[nH+]2)c1,1,0.3695652173913043,1.1876712508099534,0.998250316963327
32398880_3347,32398880,CCOc1cccc(-c2cccc(N)n2)c1,1,0.4090909090909091,1.7020722663858838,0.9978408263137115
32007466_1014,32007466,Cc1cc(C)n(-c2ccc(CNC(=O)C3CCC3)cn2)n1,1,0.5538461538461539,1.1318025446160822,0.9996255815516751
50132153_1268,50132153,CCc1ccc(S(=O)(=O)NCc2ccnc(N3CCCC3)n2)cc1,1,0.2857142857142857,1.4042068935876275,0.9989117445027382
50132153_1269,50132153,CCc1ccc(S(=O)(=O)[N-]Cc2ccnc(N3CCCC3)n2)cc1,1,0.28169014084507044,3.1100591634242565,0.995902009372342
50613596_2522,50613596,CCCNC(=O)C1([NH2+]Cc2csnn2)CCCCC1,1,0.6,2.181833174191152,0.998706508521285
50613596_2521,50613596,CCCNC(=O)C1(NCc2csnn2)CCCCC1,1,0.5882352941176471,1.9839581648812017,0.9992964377645582
45763784_1190,45763784,Cc1cc(NC(=O)C2CCN(c3ccncc3Cl)CC2)no1,1,0.5818181818181818,1.5440006476683132,0.9995583516530263
45763784_1191,45763784,Cc1cc(NC(=O)C2CCN(c3cc[nH+]cc3Cl)CC2)no1,1,0.5714285714285714,2.4893774322111466,0.9979788130861522
49063828_2336,49063828,CCc1cc(CNC(=O)Nc2ccc(N3CCSCC3)cc2)on1,1,0.4918032786885246,2.296137408780008,0.9991157065208762
36466247_523,36466247,CCOc1ncccc1-c1cc(Cl)ccc1[O-],1,0.43137254901960786,1.9406068638445082,0.9988630906010755
36466247_522,36466247,CCOc1ncccc1-c1cc(Cl)ccc1O,1,0.43137254901960786,1.167833892297627,0.9990305301476526
177400113_2264,177400113,CCn1ncc(CN(C)C(=O)c2ccc(-c3nc(C)cc(C)n3)cc2)c1C,1,0.33766233766233766,2.1505380722043395,0.9969075977366402
31348551_1223,31348551,O=c1[nH]c2ccccc2n1C1CCN(CCc2ccccn2)CC1,1,0.6296296296296297,1.8558173401491993,0.9987457804930971
