Name,Parent,SMILES,outer_fold,max_similarity_to_train,min_euclidean_distance_to_train,max_cosine_similarity_to_train
11995039_751,11995039,O=C(Nc1ccc(F)cc1F)N1CCn2c1[nH+]c1ccccc12,1,0.3235294117647059,0.9155828744580251,0.9993963858257007
11995039_750,11995039,O=C(Nc1ccc(F)cc1F)N1CCn2c1nc1ccccc12,1,0.3235294117647059,1.3658396684828822,0.9996348540097189
53851976_421,53851976,Cc1cc(C)n(CCNC(=O)NC2CCOCC2)n1,1,0.4444444444444444,1.691916369091966,0.9994355957316613
32435950_690,32435950,COc1cc(F)ccc1-c1ncccc1NC(=O)C(C)C,1,0.359375,1.3800644912465154,0.9984698482683424
173261_2215,173261,O=C(c1ccncc1)N1CCC(c2cnccn2)CC1,1,0.45652173913043476,1.2077396242573657,0.9990626199591633
151211_361,151211,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)[nH+]2)cc1,1,0.5645161290322581,2.4083056284452877,0.9992893996798445
151211_360,151211,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1,1,0.5737704918032787,2.2623613769686193,0.9993436937370798
27415022_312,27415022,C[N@@H+](Cc1cccc(C#N)c1)Cc1ccccc1C#N,1,0.6086956521739131,2.555277088693082,0.9987677575035284
27415022_313,27415022,CN(Cc1cccc(C#N)c1)Cc1ccccc1C#N,1,0.6086956521739131,3.369959792044935,0.9953855814440524
17464371_3480,17464371,O=C(NCCc1ccccc1)c1ccc(NC(=O)N2CCCCc3ccccc32)cc1,1,0.3835616438356164,2.4274054049538316,0.9980463063527332
29596013_1416,29596013,CN(C)c1cc(CNc2ccc(C#N)cn2)ccn1,1,0.45098039215686275,0.8259128283297029,0.9994587199143158
29596013_1417,29596013,CN(C)c1cc(CNc2ccc(C#N)cn2)cc[nH+]1,1,0.4230769230769231,1.3933075755200808,0.999280282606391
32398880_3348,32398880,CCOc1cccc(-c2cccc(N)[nH+]2)c1,1,0.3695652173913043,1.101032242943028,0.9978493431614606
32398880_3347,32398880,CCOc1cccc(-c2cccc(N)n2)c1,1,0.4090909090909091,1.7037015583722013,0.9982145606808576
32007466_1014,32007466,Cc1cc(C)n(-c2ccc(CNC(=O)C3CCC3)cn2)n1,1,0.5538461538461539,1.2556432614402622,0.99965124345422
